Timestamp	BreakoutSession	Presenter	Der/Die Vortragende hat klar und deutlich gesprochen	Der/Die Vortragende hat in einer guten Lautstärke gesprochen	Der/Die Vortragende hat in einer guten Geschwindigkeit gesprochen	Der/Die Vortragende wirkte entspannt	Die Einleitung hat meine Aufmerksamkeit geweckt	Der/Die Vortragende hat gute Beispiele gegeben	Der Schluss hat die Präsentation angemessenen abgeschlossen	Ich habe durch diese Präsentation etwas gelernt	Die Strukutur der Präsentation	Die Menge an Text auf den Folien	Die Menge an Bildern auf den Folien	Der Inhalt der Präsentation war angemessen	Die Reihenfolge der Inhalte war logisch	Der/Die Vortragende hat eine kurze Zusammenfassung gegeben, in der die Hauptpunkte hervorgehoben wurden	Audiovisuelle Medien haben die Präsentation der Inhalte deutlich verbessert und unterstützt	Die Zeiteinteilung hat den wichtigsten Themen ausreichend Aufmerksamkeit geschenkt; ich hatte nicht das Gefühl, dass etwas gehetzt oder übermäßig in die Länge gezogen wurde.	Die Präsentation dauerte 10 Minuten	Gesamteindruck	Was war das Beste an der Präsentation (inhaltlich und/oder hinsichtlich der Ausführung)?	Was kann an dieser Präsentation verbessert werden und wie?
11/15/2022 8:30:15	1	1	5	5	5	4	3	3		4	4	4	4	4	4	3	4	4		4	Der gute Zusammenhang und Beispielhafte darstellungen	Mehr mit den Abbildungen arbeiten
11/15/2022 8:30:15	1	1	5	5	4	4	3	3	4	4	4	4	5	4	4	3	4	4	5	4	Bilderwahl für die einzigen Thementeilgebiete	 Versuchen beim Anfang (bei der Einleitung) interessanteren und nicht so schnellen  Einstieg zu machen, damit die Aufmerksamkeit da ist
11/15/2022 8:40:25	1	1	5	5	5	4	4	5	4	5	5	5	5	5	5	3	4	4	5	5	die Beispielbilder und Erklärungen. So konnte man sich die Inhalte besser vorstellen.	Vielleicht die Struktur des Vortrags vorher angeben bei vielen Unterpunkten, aber das ist auch Geschmacksache
11/15/2022 9:00:10	1	1	4	5	4	4	4	4	5	4	4	5	4	4	5	4	4	5	3	4	Viele Abbildungen	mehr auf die Zeit achten
11/15/2022 9:01:21	1	1	5	5	4	5	2	4		3	3	3	5	5	4	4	4	4	3		Erklärungen/Verdeutlichung an Bildern	Mir hat ne Gliederung gefehlt bzw. ne Übersicht am Anfang
11/15/2022 9:04:05	1	1	4	5	4	4	3	4	3	5	4	4	4	4	4	1	4	4	3	5	Beispielbilder zu haben	Ich denke rückblickend findet man immer noch Kleinigkeiten, die man an der PP verbessern kann. Dennoch war sie bereits gut.
11/15/2022 9:06:53	1	1	4	5	4	2		4	3	5	4	2	5	5	5	1		2		3	Der Vergleich und auch die Darstellung des Wandels der Geschlechtsorgane & -merkmale zwischen Menschen und den verschiedenen Menschenaffen-Arten war sehr gut präsentiert und auch interessant zu lernen!	Die Stichpunkte auf den Folien waren oft unverständlich formuliert. Wenn ich sie nochmal gelesen habe, habe ich oft nicht verstanden, was damit gemeint war und dadurch waren sie eher eine schlechte btz. nicht wirklich eine Unterstützung des Vortrags. Die Grafiken hingegen waren sehr gut und verständlich :)
11/15/2022 8:40:16	1	2	5	5	5	4	4	3	4	4	5	4	4	4	4	3	4	4	5	4	Gestaltung der einigen Folien waren sehr interessant	Versuchen weniger Text mehr Bilder zu zeigen  Es waren zwar gute Informationen da und die Folien waren schön gestaltet aber manchmal fehlten Bilder dazu
11/15/2022 8:40:44	1	2	5	5	5	5	4	5		4	4	4	4	5	5				4	4	Ihre generelle Präsenation, man hat gemerkt, dass sie sich mit dem Thema beschäftig hat	keine Anmerkungen
11/15/2022 8:49:26	1	2	5	5	5	5	3	3	2	3	2	3	3	3	4	2	2	3	5	3	die Vielfältigkeit und das Model als Beispiel	etwas übersichtlicher strukturieren 
11/15/2022 9:01:04	1	2	4	4	4	3	4	4	4	4	5	4	4	4	4	4	4	4	5	4	sehr verständlich erklärt	mehr abbildungen
11/15/2022 9:03:48	1	2	4	4	4	4	3	3	3	5	4	4	4	4	4	4	2	4	5	5	Guter Überblick	schwierige Aufgabe, daher nur Überblick; Genauere Beleuchtung wäre interessant, aber schwer möglich
11/15/2022 9:05:59	1	2	4	5	5	5	4	4	4	2	4	5	5	5	5	5	5	5	5	5	Anschauliche Folien :)	ist schön so
